original_title,rule_based_label,llm_label,llm_major_group,llm_ssoc_code,llm_ssoc_occupation_title,llm_confidence,llm_votes,llm_reasoning,validation_status,prompt_version
PHOTOGRAPHER,NONE,T,3,34310,Photographer,0.95,3,"Photographer is explicitly listed under Group 3 Associate Professionals and Technicians, and matches the candidate SSOC code 34310.",LLM_ONLY,v1.2
ASST MGR HR,NONE,PME,1,12121,Personnel/Human resource manager,0.94,3,"Assistant Manager HR is a managerial position in human resources, falling under Group 1 as managers are classified as PME by default.",LLM_ONLY,v1.2
CIVIL DEFENCE OFFICER,NONE,PME,1,13491,National security/Civil defence/Immigration managerial officer,0.9,3,"Civil Defence Officer is a managerial position within civil defence operations, falling under Group 1 as indicated by the candidate SSOC code 13491 for civil defence managerial officers.",LLM_ONLY,v1.2
CHEMIST,NONE,PME,2,21130,Chemist,1.0,3,"Chemist is a professional occupation requiring specialized scientific knowledge and qualifications, falling under Group 2 Professionals.",LLM_ONLY,v1.2
TRAINER,NONE,T,3,34221,Sports coach,0.4,3,"Without specific context, 'TRAINER' most commonly refers to sports/fitness trainers which fall under Group 3 Associate Professionals, though the generic title creates significant ambiguity.",NEEDS_REVIEW,v1.2
INSURANCE UNDERWRITER,NONE,PME,2,24160,Insurance underwriter,1.0,3,Insurance underwriter is explicitly listed as a professional occupation requiring specialized knowledge in risk assessment and insurance principles.,LLM_ONLY,v1.2
GRAB DRIVER,RNF,RNF,8,83226,Private-hire car driver,1.0,3,"Grab driver is a private-hire car driver, which falls under Group 8 as specified in the classification rules for drivers.",AGREE,v1.2
EXECUTIVE,NONE,T,3,33491,Management executive,0.7,3,"Generic 'Executive' title without further context is best classified as Management executive under Group 3, as executive roles typically fall under associate professional level unless specified as senior management or professional specialist roles.",NEEDS_REVIEW,v1.2
SR PROJECT MGR,NONE,PME,2,24213,Business/Financial project management professional,0.85,3,"Senior Project Manager is a professional-level role requiring specialized project management expertise, falling under Group 2 Professionals as a project management professional.",LLM_ONLY,v1.2
LECTURER,NONE,PME,2,23101,University lecturer,0.85,3,"Lecturer is a professional teaching position that falls under Group 2 Professionals, with university lecturer being the most common interpretation when institution type is unspecified.",LLM_ONLY,v1.2
DIRECTOR OF OPERATIONS,NONE,PME,1,11202,Company director,0.85,3,"Director of Operations is a senior management position with 'Director' in the title, falling under Group 1 as a senior official responsible for overseeing operational functions of an organization.",LLM_ONLY,v1.2
CONSULTANT,NONE,PME,2,24211,Management consultant,0.633,3,"Generic 'Consultant' title most commonly refers to management or business consulting roles which fall under Group 2 Professionals, though the lack of specialization reduces confidence.",NEEDS_REVIEW,v1.2
PROD SUPERVISOR,NONE,RNF,8,83000,Production supervisor,0.85,3,"Production supervisor oversees plant and machine operations/assembly workers, falling under Group 8 supervisory roles rather than managerial positions.",LLM_ONLY,v1.2
LOGISTICS CLERK,NONE,RNF,4,41109,General office clerk n.e.c.,0.85,3,"Logistics clerk is a clerical support role handling administrative tasks related to logistics operations, falling under Group 4 Clerical Support Workers.",LLM_ONLY,v1.2
TECH,NONE,NA,X,X0000,Not Applicable,0.483,3,"TECH is too ambiguous and could refer to various occupations from technician to technology professional, or could be an incomplete/internal code that cannot be reliably classified without additional context",NEEDS_REVIEW,v1.2
CHEMICAL ENGINEER,NONE,PME,2,21451,Chemical engineer (excluding petroleum and petrochemical),0.95,3,"Chemical Engineer is a professional occupation requiring specialized engineering qualifications and falls under Group 2 Professionals, with the general chemical engineer code used as no specific specialization is indicated.",LLM_ONLY,v1.2
BARTENDER,NONE,RNF,5,51321,Bartender/Mixologist,1.0,3,"Bartender is a service occupation that falls under Group 5 Services and Sales Workers, with an exact match in the candidate SSOC codes.",LLM_ONLY,v1.2
MARKETING MANAGER,NONE,PME,1,12222,Marketing manager,1.0,3,Marketing Manager is explicitly a managerial position under Group 1 and matches the candidate SSOC code 12222 exactly.,LLM_ONLY,v1.2
RECREATION OFFICER,NONE,T,3,34310,Recreation Officer,0.85,3,"Recreation Officer is an associate professional role that involves planning and coordinating recreational activities, falling under Group 3 Associate Professionals and Technicians.",LLM_ONLY,v1.2
RETAIL ASSISTANT,NONE,RNF,5,52202,Shop sales assistant,0.98,3,Retail assistant is a sales worker role that directly matches the Shop sales assistant classification under Group 5 Services and Sales Workers.,LLM_ONLY,v1.2
SHIP OFFICER,NONE,T,3,31521,Ship's deck navigating officer,0.85,3,"Ship officer typically refers to deck or navigating officers on ships, which falls under Group 3 Associate Professionals and Technicians unless specified as a senior rank like captain or chief mate.",LLM_ONLY,v1.2
MARINE OFFICER,NONE,T,3,31510,Marine engineering officer,0.75,3,"Marine Officer most likely refers to a ship's officer role which falls under Group 3 Associate Professionals and Technicians, with marine engineering officer being the closest match from the candidate codes.",LLM_ONLY,v1.2
PAINTER,NONE,RNF,7,71311,Building painter,0.75,3,"Without additional context, 'PAINTER' most commonly refers to a building/construction painter which falls under Group 7 craftsmen trades workers, though it could also refer to an artist (PME) or other specialized painter roles.",LLM_ONLY,v1.2
PHYSIOTHERAPY ASSISTANT,NONE,T,3,32559,Physiotherapy technician and related associate professional n.e.c.,0.9,3,"Physiotherapy Assistant follows the base occupation of physiotherapy technician, which falls under Group 3 Associate Professionals and Technicians as a healthcare support role.",LLM_ONLY,v1.2
LEADER,NONE,NA,X,X0000,Not Applicable,0.3,3,"The term 'LEADER' is too vague and generic without context to determine the specific occupational role, industry, or level of responsibility.",NEEDS_REVIEW,v1.2
COMMUNITY DEVELOPMENT OFFICER,NONE,PME,1,13492,Community partnership/relations manager,0.85,3,"Community Development Officer aligns with community partnership/relations management roles, which fall under Group 1 managerial positions involving community engagement and development.",LLM_ONLY,v1.2
TEACHER,NONE,PME,2,23400,Secondary school teacher,0.7,3,"Generic 'TEACHER' title most commonly refers to mainstream school teachers which are classified as Professionals under Group 2, defaulting to secondary school teacher as the most common category when level is unspecified.",NEEDS_REVIEW,v1.2
SPECIALIST,NONE,PME,2,22149,Specialist medical practitioner (other specialisation) n.e.c.,0.4,3,"The title 'SPECIALIST' is ambiguous but most commonly refers to medical specialists in Singapore context, though without additional context this classification has low confidence.",NEEDS_REVIEW,v1.2
RECEPTIONIST,NONE,RNF,4,42241,Receptionist (general),0.95,3,"Receptionist is a clerical support role under Group 4, handling front desk duties and customer service.",LLM_ONLY,v1.2
OPERTION MANAGER,NONE,PME,1,11203,Chief operating officer/General manager,0.85,3,Operation Manager (despite misspelling) contains 'Manager' in title and falls under Group 1 as a general management role overseeing operations.,LLM_ONLY,v1.2
EDUCATION OFFICER,NONE,PME,2,23619,Education methods specialist n.e.c.,0.85,3,"Education Officer is a professional role in the education sector, typically involving curriculum development, policy implementation, or educational program management, best classified under education methods specialists.",LLM_ONLY,v1.2
NIL,NA,NA,X,X0000,Not Applicable,1.0,3,"NIL indicates no occupation information provided, which falls under the NA category for blank/unknown entries.",AGREE,v1.2
ASST FINANCE MGR,NONE,PME,1,12111,Budgeting/Financial accounting manager,0.95,3,"Assistant Finance Manager contains 'Manager' in title and relates to financial management, placing it in Group 1 Managers per classification rules.",LLM_ONLY,v1.2
SECURITY MANAGER,NONE,PME,1,12194,Security manager,1.0,3,Security Manager is explicitly listed as a managerial position under Group 1 and has a direct matching SSOC code in the candidate list.,LLM_ONLY,v1.2
FIN ANALYST,NONE,PME,2,24131,Financial analyst,0.98,3,"FIN ANALYST is a clear abbreviation for Financial Analyst, which falls under Group 2 Professionals requiring professional-level financial analysis expertise.",LLM_ONLY,v1.2
CYBERSECURITY ENGINEER,NONE,PME,2,25121,Computer Security Specialist,0.98,3,"Cybersecurity Engineer is a professional IT role requiring specialized knowledge in information security, falling under Group 2 Professionals as an IT professional.",LLM_ONLY,v1.2
MANAGEMENT CONSULTANT,NONE,PME,2,24211,Management consultant,1.0,3,"Management consultant is a professional occupation requiring specialized knowledge in business strategy and organizational management, falling under Group 2 Professionals.",LLM_ONLY,v1.2
CSE,NONE,NA,X,X0000,Not Applicable,0.3,3,"CSE is an ambiguous acronym that could mean multiple things (Customer Service Executive, Computer Science Engineer, etc.) and cannot be reliably classified without additional context",NEEDS_REVIEW,v1.2
BILLING CLERK,NONE,RNF,4,43115,Billing clerk,1.0,3,"Billing clerk is explicitly listed in the candidate codes under Group 4 Clerical Support Workers, making this a direct match.",LLM_ONLY,v1.2
MOTOR VEHICLE MECHANIC,NONE,RNF,7,72310,Automotive mechanic,0.98,3,Motor vehicle mechanic is a craftsman role that falls under Group 7 and directly matches the automotive mechanic SSOC code.,LLM_ONLY,v1.2
PROPERTY EXECUTIVE,NONE,T,3,33229,Commercial/Marketing sales executive n.e.c.,0.75,3,"Property Executive is an associate professional role involving business development and client relations in the property sector, falling under Group 3 as it does not require professional-level qualifications like property managers or real estate professionals.",LLM_ONLY,v1.2
PORTFOLIO MANAGER,NONE,PME,2,24133,Fund/Portfolio manager,0.98,3,"Portfolio Manager is a professional role requiring specialized knowledge in investment management and financial analysis, directly matching the Fund/Portfolio manager SSOC code.",LLM_ONLY,v1.2
CARTOGRAPHIC TECHNICIAN,NONE,T,3,31123,Land surveying technician,0.85,3,"Cartographic technician involves mapping and surveying work, which aligns closely with land surveying technicians under Group 3 Associate Professionals and Technicians.",LLM_ONLY,v1.2
QUANTITY SURVEYOR,NONE,PME,2,21494,Quantity surveyor,1.0,3,Quantity surveyor is a professional occupation requiring specialized knowledge in construction cost management and falls under Group 2 Professionals.,LLM_ONLY,v1.2
OCCUPATIONAL THERAPIST,NONE,PME,2,22680,Occupational therapist,1.0,3,Occupational therapist is a healthcare professional requiring professional-level qualifications and is explicitly listed in the candidate codes under Group 2 Professionals.,LLM_ONLY,v1.2
RESEARCH SCIENTIST,NONE,PME,2,21332,Environment research scientist,0.85,3,"Research scientist is a professional-level occupation requiring advanced scientific knowledge and qualifications, falling under Group 2 Professionals.",LLM_ONLY,v1.2
TCM PHYSICIAN,NONE,PME,2,22110,General practitioner/Physician,0.85,3,TCM (Traditional Chinese Medicine) Physician is a medical professional requiring professional-level qualifications and falls under the physician category in Group 2 Professionals.,LLM_ONLY,v1.2
DENTIST,NONE,PME,2,22611,General dental practitioner,0.95,3,"Dentist is a healthcare professional requiring professional qualifications and falls under Group 2 Professionals, classified as a general dental practitioner.",LLM_ONLY,v1.2
CARPENTER,NONE,RNF,7,71151,Carpenter,1.0,3,Carpenter is explicitly listed under Group 7 Craftsmen and Related Trades Workers and matches the provided candidate SSOC code.,LLM_ONLY,v1.2
MACHINE OPERATOR,NONE,RNF,8,81830,Packing/Bottling/Labelling machine operator,0.717,3,"Generic machine operator title falls under Group 8 Plant and Machine Operators, with packing/bottling/labelling being a common general machine operation role when specific machine type is not specified.",NEEDS_REVIEW,v1.2
MANAGER,NONE,PME,1,11203,Chief operating officer/General manager,0.75,3,"Generic 'Manager' title defaults to PME Group 1, assigned to General Manager as the most common broad managerial classification when no specific function is indicated",LLM_ONLY,v1.2
ENVIRONMENTAL HEALTH OFFICER,NONE,PME,2,22632,Environmental officer (public health),0.92,3,"Environmental Health Officer is a professional role focused on public health and environmental protection, matching the SSOC code for environmental officer in public health under Group 2 Professionals.",LLM_ONLY,v1.2
CRANE OPERATOR,NONE,RNF,8,83432,Crane operator (on-site),0.9,3,"Crane operator is a plant and machine operator role classified under Group 8 (RNF), with on-site crane operation being the most common interpretation.",LLM_ONLY,v1.2
QA ENGR,NONE,PME,2,21490,Quality Assurance Engineer,0.92,3,"QA ENGR (Quality Assurance Engineer) contains 'Engineer' in title and represents a professional-level role requiring specialized technical knowledge, placing it in Group 2 Professionals.",LLM_ONLY,v1.2
DATA ENTRY CLERK,NONE,RNF,4,41320,Data entry clerk,1.0,3,Data entry clerk is explicitly listed under Group 4 Clerical Support Workers and matches the candidate SSOC code 41320 exactly.,LLM_ONLY,v1.2
RADIOGRAPHER,NONE,PME,2,22693,Diagnostic radiographer,0.95,3,"Radiographer is a healthcare professional requiring specialized qualifications and falls under Group 2 Professionals, matching the candidate code for diagnostic radiographer.",LLM_ONLY,v1.2
IT SUPPORT ANALYST,NONE,T,3,35123,IT support technician,0.85,3,"IT Support Analyst is classified as a technician-level role under Group 3, providing technical support rather than professional-level IT services.",LLM_ONLY,v1.2
ANALYST,NONE,PME,2,21231,Statistical officer/Data analyst,0.65,3,"Generic 'Analyst' title most commonly refers to data or business analysis roles which fall under Group 2 Professionals, though the broad title creates some uncertainty.",NEEDS_REVIEW,v1.2
INTERIOR DESIGNER,NONE,T,3,34321,Interior designer,1.0,3,Interior designer is explicitly listed under SSOC code 34321 in Group 3 Associate Professionals and Technicians.,LLM_ONLY,v1.2
SOUND TECHNICIAN,NONE,T,3,35215,Sound engineering technician,0.95,3,"Sound technician with 'technician' in title falls under Group 3 Associate Professionals and Technicians, matching the sound engineering technician classification.",LLM_ONLY,v1.2
FINANCIAL ANALYST,NONE,PME,2,24131,Financial analyst,1.0,3,Financial analyst is a professional occupation requiring specialized knowledge in finance and directly matches the candidate SSOC code 24131.,LLM_ONLY,v1.2
DELIVERY DRIVER,NONE,RNF,8,83229,Car/Taxi/Van/Light goods vehicle driver n.e.c.,0.85,3,"Delivery driver falls under Group 8 as a vehicle operator, classified as car/van driver n.e.c. since the specific vehicle type is not specified.",LLM_ONLY,v1.2
OPERATIONS MANAGER,NA,PME,1,13299,Other production/operations manager n.e.c.,0.85,3,"Operations Manager falls under Group 1 as per the rule that 'Manager' in title defaults to PME Group 1, and 13299 covers general operations managers not elsewhere classified.",DISAGREE,v1.2
SOCIAL WORKER,NONE,PME,2,26621,Social worker (general),0.98,3,Social worker is a professional occupation requiring specialized qualifications and falls under Group 2 Professionals.,LLM_ONLY,v1.2
CLERCIAL OFFICER,NONE,RNF,4,41000,General Clerks,0.85,3,CLERCIAL OFFICER appears to be a misspelling of 'Clerical Officer' which falls under Group 4 Clerical Support Workers as administrative/clerical staff.,LLM_ONLY,v1.2
MEDICAL LAB TECHNICIAN,NONE,T,3,32120,Medical/Pathology laboratory technician,0.98,3,"Medical lab technician is explicitly a technician role that falls under Group 3 Associate Professionals and Technicians, matching the candidate code for medical/pathology laboratory technician.",LLM_ONLY,v1.2
TECHNOLOGIST,NONE,PME,2,21499,Other engineering professional n.e.c.,0.6,3,"Technologist typically refers to a professional-level occupation requiring specialized knowledge, though the specific field is unspecified, making this a general professional classification.",NEEDS_REVIEW,v1.2
TELECOMMUNICATIONS TECHNICIAN,NONE,T,3,35220,Telecommunications engineering technician,0.98,3,Telecommunications Technician directly matches the technician classification rule and corresponds to the telecommunications engineering technician SSOC code in Group 3.,LLM_ONLY,v1.2
CALL CENTRE AGENT,NONE,RNF,4,42246,Contact centre information clerk,0.98,3,"Call centre agents are clerical support workers who handle customer inquiries and information, falling under Group 4 RNF category.",LLM_ONLY,v1.2
PRINTING OPERATOR,NONE,RNF,8,81841,Printing machine operator,0.98,3,Printing operator directly matches the printing machine operator role under Group 8 Plant and Machine Operators and Assemblers.,LLM_ONLY,v1.2
DOMESTIC HELPER,NONE,RNF,9,91300,Domestic helper/cleaner,1.0,3,"Domestic helper is explicitly listed under Group 9 (Cleaners, Labourers and Related Workers) and matches the candidate SSOC code 91300 exactly.",LLM_ONLY,v1.2
SUPERVISOR,NONE,RNF,4,40000,Office supervisor,0.6,3,"Generic 'SUPERVISOR' title without context defaults to office supervisor as the most common supervisory role, which falls under RNF Group 4 clerical support workers.",NEEDS_REVIEW,v1.2
HEAD OF MARKETING,NONE,PME,1,12222,Marketing manager,0.98,3,"HEAD OF MARKETING is a senior management position overseeing the marketing function, falling under Group 1 Managers, with the most appropriate code being Marketing manager.",LLM_ONLY,v1.2
DENTAL TECHNICIAN,NONE,T,3,32143,Dental technician,1.0,3,Dental technician is explicitly listed as a technician role under Group 3 and matches the candidate SSOC code 32143 exactly.,LLM_ONLY,v1.2
REAL ESTATE AGENT,NONE,T,3,33340,Real estate agent,1.0,3,Real estate agent is explicitly listed under Group 3 Associate Professionals and Technicians with the exact matching SSOC code 33340.,LLM_ONLY,v1.2
CUSTOMER SERVICE OFFICER,NONE,RNF,4,42245,Customer service officer/clerk,0.98,3,"Customer Service Officer is a clerical support role under Group 4, matching the exact candidate SSOC code 42245.",LLM_ONLY,v1.2
SURVEY TECHNICIAN,NONE,T,3,31123,Land surveying technician,0.92,3,"Survey technician with 'technician' in title falls under Group 3, and land surveying technician is the most appropriate match from the candidate codes for survey-related technical work.",LLM_ONLY,v1.2
SNR TECHNICIAN,NONE,T,3,31119,Chemical/Physical science technician n.e.c.,0.75,3,"Senior Technician follows the base occupation 'Technician' which falls under Group 3, using the n.e.c. code as the specific technical field is not specified.",LLM_ONLY,v1.2
TRUCK DRIVER,RNF,RNF,8,83329,Heavy truck/Lorry driver n.e.c.,0.95,3,"Truck driver falls under Group 8 as a plant and machine operator, classified as heavy truck/lorry driver not elsewhere classified.",AGREE,v1.2
